ss.loglik,calltime(min)
-5505.872837,3.854688517
-5486.672104,2.529250117
-5588.042886,3.997892265
-5566.252595,3.334887497
-5591.812044,2.56792808
-5468.091752,2.599173586
-5608.12009,2.559035667
-5574.330545,3.921666133
-5502.493997,2.581515833
-5752.934839,2.538150736
-5396.453036,2.550510899
-5413.831451,3.989413484
-5507.922392,3.994594983
-5559.344638,3.988098768
-5459.6768,4.077381881
-5500.952261,3.994205717
-5538.414656,3.9712364
-5507.351434,3.426929235
-5478.790323,2.459538082
-5567.094408,2.469866284
