S,E,I,R,H
73782.1393,600.5169,456.0329,2369763.4153896905,278257.2378
75511.4541,561.5981,348.3218,2378899.8997392044,982.5566
78434.2972,385.9768,230.5887,2386989.5802896763,527.339
80016.6598,518.3137,307.3377,2395920.438188366,693.1421
81141.4395,750.4632,443.1831,2405150.9909516396,990.7672
82072.0785,968.9434,570.5958,2414602.7305753296,1269.6412
82622.8281,1214.829,714.3478,2424394.1899088756,1583.7905
82662.4109,1520.6891,895.0697,2434605.104232333,1985.1623
83641.7765,1019.7899,754.6131,2445011.8211879022,2144.0865
84368.4876,1180.772,694.0864,2454933.3838837706,1644.1225
84915.2505,1357.983,794.6145,2464870.849915371,1751.2291
85301.0468,1599.3595,935.2419,2474866.271454842,2056.5039
84909.6907,1976.5599,1160.2881,2485438.9513206896,2556.8641
83746.8111,2430.168,1435.8369,2496656.2443864113,3187.7108
81623.6248,2953.2573,1764.7615,2508733.9369317484,3968.0575
80927.4668,2074.3629,1563.5737,2521319.710883537,4460.0391
81396.2085,1395.4627,1062.5665,2532861.9352733903,3322.1103
82493.3912,949.6269,720.9443,2543392.0687658153,2255.6726
84021.9224,652.5158,493.085,2553246.9476744654,1534.1819
85000.3746,895.7706,533.3641,2562859.5052634757,1236.3563
85640.3312,1103.1081,654.343,2572779.895463921,1471.4048
85863.9112,1331.6126,790.1217,2583105.622502805,1773.7941
86505.5906,1044.7488,768.512,2593694.1457685274,2022.6267
86934.1109,1320.4837,783.4492,2603931.95121069,1801.1677
87233.0899,1551.6724,919.8792,2614222.9911131905,2057.808
87330.1564,1814.2976,1076.2719,2624711.67321652,2409.4088
87902.5765,1419.3654,1043.4536,2635571.7701198473,2743.4022
89143.5788,1250.6825,763.1122,2645823.8431071285,2132.6861
89896.6236,1516.0843,892.8659,2655727.2163560884,1991.3915
89538.7439,1863.158,1100.8375,2666597.9575985773,2449.5003
87769.183,2432.9599,1450.3279,2678524.3544983137,3259.8608
85183.3021,2986.9271,1803.6558,2691277.5854618098,4117.021
81702.8329,3510.2292,2157.0545,2704954.4619557615,5034.1159
77027.9428,3959.0645,2492.325,2719908.6567737283,6001.9155
74717.3651,2626.8079,2084.3045,2735002.0244989004,6222.4034
73342.121,2409.7883,1568.8424,2748143.953202891,4421.8174
71748.1924,2383.1705,1553.3736,2760764.3111989005,3956.3028
70288.457,2282.8004,1502.7191,2773359.4139943584,3874.0153
69086.7522,2086.0172,1385.1691,2785776.7292358153,3614.9091
68339.0029,1824.3631,1218.6558,2797851.2436421737,3212.8982
68264.2089,1537.6838,1029.6089,2809210.3125820453,2727.6511
69339.4899,896.4208,734.1497,2819857.0314388364,2266.0645
71109.553,482.715,401.4184,2829531.25270953,1399.1793
73142.5703,267.8508,221.1041,2838537.7965544,766.9415
75349.0841,149.3977,122.0005,2847118.012290976,419.3386
77536.1917,142.8154,92.2258,2855443.1743657854,247.0105
79604.1327,141.6004,90.2186,2863800.9810049795,225.2154
81718.3622,132.1173,83.3299,2871982.9910484445,205.0806
83778.428,103.5408,78.2705,2880214.4662233205,209.9612
