"","x"
"1",-6237.6703581967
"2",-5956.10341308181
"3",-5966.37731860353
"4",-6048.32888274207
"5",-6104.33303872833
"6",-5884.72535659397
"7",-6108.09349478772
"8",-6382.73111743684
"9",-5994.758771442
"10",-6145.22322036558
"11",-6110.23070492382
"12",-5993.58402541813
"13",-6224.50529888652
"14",-6285.89222651932
"15",-6017.15104247133
"16",-6212.0261699896
"17",-5946.23396068933
"18",-5972.39105495791
"19",-6476.36535256342
"20",-6094.86548872261
"21",-5993.00168889976
"22",-5925.7669159211
"23",-5907.75107454994
"24",-6122.76230362957
"25",-6107.366238235
"26",-5985.03119134086
"27",-6021.08060464622
"28",-5746.42512669911
"29",-6371.42471935955
"30",-6058.42923524871
"31",-5740.47194827933
"32",-6086.83784951418
"33",-6111.91731103277
"34",-5975.03661823115
"35",-6063.23289794749
"36",-6030.49010265425
"37",-6135.04137818103
"38",-6016.44625357385
"39",-6173.02442392081
"40",-5954.04584719299
"41",-6088.11348783394
"42",-6321.31920100404
"43",-6123.4306611148
"44",-6091.40281432646
"45",-5799.84334271845
"46",-5917.64344362389
"47",-5991.60982779078
"48",-6039.0559316697
"49",-5986.48910832426
"50",-5983.36492219493
"51",-6124.97457257131
"52",-6128.46176265409
"53",-5968.57038485988
"54",-5987.00922137184
"55",-6223.50845877705
"56",-6059.61885157524
"57",-6090.56083958909
"58",-6228.87386311536
"59",-6022.4450140525
"60",-6137.68524405152
"61",-6215.17389244193
"62",-6056.46101171103
"63",-6351.62397550681
"64",-6107.63992612682
"65",-6267.07545915452
"66",-6296.57762994336
"67",-6193.79214830768
"68",-6242.31480438343
"69",-5949.64316728632
"70",-6222.7888421117
"71",-5892.0792999002
"72",-5953.11059335302
"73",-6379.69848930669
"74",-5847.88529102533
"75",-6077.99847628265
"76",-6266.39045708115
"77",-6380.82672069833
"78",-6436.57424131311
"79",-6010.97177902091
"80",-5920.40592012481
"81",-6011.84583832134
"82",-6106.65760620237
"83",-6270.83431824324
"84",-6106.39494177729
"85",-6021.81248545519
"86",-6294.50660604798
"87",-6188.74136701316
"88",-5806.08298311293
"89",-5888.23967129731
"90",-6147.7393763746
"91",-6069.58875001396
"92",-6100.68783745182
"93",-6278.01628331724
"94",-5898.75828912649
"95",-6001.71661801819
"96",-6209.48316616434
"97",-6019.84142861188
"98",-6049.06395821885
"99",-6169.02144356682
"100",-6373.14401887442
"101",-6060.99052213193
"102",-5968.73063546507
"103",-6082.83999850316
"104",-6003.26337578562
"105",-6278.96071965763
"106",-6356.50771543414
"107",-6208.58873376328
"108",-6234.71031735644
"109",-5969.59044748555
"110",-6201.86503684577
"111",-6079.299120772
"112",-5895.72543133763
"113",-5982.57294043678
"114",-5882.25507201735
"115",-6168.12453244132
"116",-6018.12156980107
"117",-6092.69573755248
"118",-6152.45853018573
"119",-6113.73310533498
"120",-6113.64111876624
