S,E,I,R,H
48278.62,208.45,119.8,1288092.5269686778,231.14
51176.12,314.41,173.84,1295754.1962190627,361.95
53769.8,491.44,268.13,1303608.3654695193,543.79
55845.75,798.51,432.55,1311780.094719904,858.11
57006.01,1344.2,721.49,1320504.3739703589,1401.9
56649.52,2241.32,1211.05,1330193.3532207455,2355.75
54053.8,3572.18,1959.43,1341429.002471193,3898.38
52619.41,2890.47,2036.76,1354186.941721578,5410.16
49512.39,3988.28,2282.25,1366669.8309720326,5132.84
44355.47,5069.72,3023.25,1380723.4802224177,6695.64
38446.76,5526.33,3498,1396419.9994728041,8327.71
33262.91,5153.38,3448.75,1412745.218723259,8951.22
29728.47,4226.13,2974.42,1428400.4079736448,8275.08
27937.31,3195.57,2328.66,1442587.0572240995,6798.75
28871.7,1570.06,1399.7,1454926.3064744854,4940.61
31097.32,769.91,685.78,1464933.9257249404,2603.35
33818.87,403.71,348.49,1473635.034975324,1287.74
36787.58,225.28,185.89,1481726.5242257116,670.56
39672.73,241.9,154.43,1489575.3834761602,420.56
42548.81,250.79,159.33,1497404.6827265501,395.24
45371,277.39,172.21,1505262.1819769987,415.97
48253.93,220.83,163.91,1513163.2812273868,449.86
51005.29,301.33,178.56,1521035.9404778385,415.17
53605.98,392.6,229.46,1529012.2497282252,511.13
55960.36,535.12,307.12,1537156.85897868,669.75
58321.85,497.2,349.38,1545510.1982290647,875.88
60749.61,534.28,311.37,1553802.5374794516,805.58
62594.47,823.76,456.55,1562242.1867299068,943.51
63667.04,1292.07,712.35,1571164.6759802909,1423.92
63508.85,2013.31,1113.17,1580919.97523074,2243.74
61625.19,3042.73,1695.98,1591910.5744811331,3474.17
57659.59,4273.37,2451.34,1604609.3437315824,5176.19
51819.89,5374.94,3224.61,1619293.3729819662,7152.26
48558.55,3777.72,2909.05,1635186.6622323596,8355.71
46100.13,3653.06,2330.5,1649067.4614803283,6333.05
43150.73,3685.15,2398.39,1662636.0507303977,6014.94
40637.89,3445.36,2303.05,1676203.1899808475,6005.5
38806.98,3050.42,2077.5,1689373.7592312365,5604.14
37739.42,2595.04,1803.85,1701889.5184816858,4941.32
