S,E,I,R,H
888.217777777778,237.94696969696966,126.48484848484848,465.68999999999954,162.64686868686866
4646.5511111111155,781.1534343434342,343.22666666666674,1390.8415151515148,687.3409090909089
20989.57575757576,2648.410505050505,1074.1142424242425,5311.366767676763,2593.197878787879
85339.13888888889,7523.686767676768,2970.9570707070707,26269.104949494973,9619.452424242429
278102.61606060603,22162.9494949495,6347.504949494951,97806.0303030301,25879.222222222223
745447.5046464647,43125.633939393956,15205.462121212116,304830.58373737364,63205.09848484849
1663796.060606061,67605.2197979798,27328.40919191919,792499.9009090905,127760.6420202021
2244607.113030303,21164.73646464647,16516.850909090906,1587070.1317171722,154278.58020202018
2475755.937272727,12281.011717171712,7787.866161616162,2169917.3470707065,62845.166060606076
1959495.3829292916,30424.547070707067,11888.734848484848,2315213.0165656577,34194.09131313131
982798.74989899,101887.61727272732,28875.636363636364,1770299.0726262622,106958.16757575757
390143.29484848474,120460.72282828283,44529.17929292929,903743.7357575755,253177.36525252537
301091.3627272729,75472.65969696971,43213.437979797985,373744.363232323,287390.0137373737
390796.47868686845,36374.16676767676,26448.4892929293,267049.50343434326,198825.0782828283
446951.90909090894,7127.046868686868,7599.303030303026,354648.39232323196,91712.92717171717
455751.00767676765,1894.7089898989893,1894.0117171717156,429491.56555555604,21791.239898989897
453384.8213131314,907.9857575757577,689.9695959595962,444769.4596969693,5440.032727272728
445685.0945454545,431.09252525252543,293.9574747474748,447711.9267676766,2296.794343434344
437396.4011111111,772.2727272727271,428.3889898989897,442861.83474747505,1267.3802020202022
425471.4685858584,1150.0665656565657,516.8091919191921,432515.8637373733,2291.901414141414
414534.10101010103,1538.0988888888887,617.5009090909092,422639.3737373737,3211.5243434343424
407490.6516161618,1184.2435353535357,679.4160606060607,411436.2233333334,3941.0509090909077
404018.8342424243,2461.1122222222225,876.2892929292932,404344.59353535343,3978.869797979798
407206.8480808082,4247.515151515151,1654.1296969696973,400950.5236363638,6547.770808080806
440194.6569696971,8229.197575757578,3193.8238383838384,400416.70707070665,13327.704545454546
524957.6439393938,7392.181818181821,3987.2480808080786,437834.8940404039,23660.530909090918
617389.331212121,8625.092525252523,2953.164747474747,514857.0630303028,19429.215757575752
860108.6556565658,19589.335757575755,6398.876262626261,627069.5874747474,25023.121111111122
1365069.6145454533,41230.550606060606,14640.128787878793,872948.2711111106,55103.77131313131
2409835.381313131,81541.4887878788,26062.182929292932,1432384.7485858572,130589.64888888886
4057203.8726262623,115010.82535353536,44673.87838383839,2428794.292929293,217516.30414141403
5918743.941313128,104304.92232323239,50394.83272727276,4012662.373737372,299149.4887878789
6596841.896868686,61938.74383838384,30889.876666666678,5640895.461010102,265051.2246464647
5735393.724747476,33254.97131313131,17394.2702020202,6165079.229898991,132062.10696969696
4110803.548585861,83893.6125252525,23830.37373737374,5567025.569595959,96766.10858585851
2089394.4213131317,165491.13888888888,59305.89686868687,3870525.492020202,239992.09737373734
791027.5332323236,205666.5963636363,82120.04797979796,1976907.2626262624,453684.43434343435
515062.54505050473,155788.02383838382,80496.77777777778,777463.6262626261,525870.0610101009
795221.4985858588,96901.77616161616,46420.08838383837,494689.91303030343,433130.07838383847
1197015.9595959596,50639.280404040386,29780.421818181814,744121.6262626263,240672.3712121211
1403712.6161616165,11617.188989898992,11698.788282828284,1124130.1021212125,129898.87626262626
1481899.6367676763,2706.042323232323,2604.572121212121,1365936.2120202028,35507.814545454545
1486911.9332323235,1166.3519191919193,791.3636363636364,1463845.6495959593,7955.8521212121195
1491731.3586868683,609.4112121212121,471.20767676767684,1480843.9074747476,2925.1854545454526
1474521.076666667,751.6374747474746,340.5667676767675,1486377.9251515158,1934.9672727272723
1430555.3506060604,1308.6241414141411,672.3485858585859,1469043.5122222225,2073.9660606060615
1375321.4637373735,2218.942525252525,913.4569696969695,1424534.8319191914,4185.757979797981
1319595.8766666665,2148.745353535355,1068.9983838383832,1369002.0480808069,6495.589797979797
1271102.9074747476,3743.1717171717182,1364.8051515151515,1309902.9021212112,6381.280303030303
1200203.6666666665,7060.294545454544,2437.5566666666655,1254642.1514141413,11011.43595959596
1141248.0266666668,12886.612020202016,4676.209595959595,1184907.2222222225,17882.912727272727
1142842.9837373737,13047.30696969697,6941.113030303028,1140094.9312121219,36980.06979797979
1180937.592323232,13453.26707070707,4607.280303030304,1137705.30050505,34686.72767676766
1334930.8387878796,31067.157171717165,9721.75868686869,1180631.7425252523,40904.15111111112
1727964.0463636357,62075.81929292929,20427.791818181828,1328954.1085858592,87974.70010101014
2780468.1918181824,116581.54505050511,41317.520303030295,1769883.776161616,184439.09848484833
4991902.364747476,211331.68727272723,71534.58292929293,2839604.6347474763,346909.62212121236
8661548.030303026,285547.7337373738,107339.39232323237,5027593.555555556,565830.2440404042
12908216.65414142,255001.069090909,120688.48444444437,8533328.909090903,731764.585858586
14761108.538989898,70439.02333333332,57918.10292929295,12382858.217777776,621901.6237373737
14095486.450100997,46645.72767676769,18797.268282828285,14222321.161616161,190975.8327272727
10869143.471111111,134558.31070707066,38089.4064646465,13467001.591515152,139611.3955555556
6395301.313535354,278950.2152525253,91892.16606060609,10249935.361111114,388349.5882828283
2763120.762020202,387622.88888888917,150385.087979798,6089845.403131313,759523.8723232324
1145973.9369696972,353724.7283838383,155993.75313131313,2711463.6455555554,1015972.7418181819
1081800.6286868688,243940.37373737374,121750.8253535354,1135911.1364646466,916182.4722222222
1513198.5802020195,79379.54292929293,57976.969696969696,1008815.9170707073,597714.1691919194
1769015.2157575756,18838.20959595961,14075.18898989899,1414567.525252526,205978.95999999996
1889722.1150505051,5035.290505050508,3751.1414141414148,1711249.5809090901,50078.96121212121
1947431.1741414142,1616.79303030303,1180.1834343434348,1862076.9570707064,13229.007676767682
1981775.6576767673,1898.5546464646466,802.913535353535,1931505.1616161622,4644.666262626266
1983017.6899999985,2084.0864646464647,927.6565656565652,1967642.733232323,4993.573333333334
1990642.4343434344,2873.838383838384,1103.040404040404,1983428.9292929296,6014.757575757576
1967275.0529292934,2390.8463636363635,1290.8463636363638,1979850.2408080806,7785.181818181821
1920810.8622222224,2889.7473737373753,1200.724848484849,1953965.1687878794,7064.186262626264
1859646.0657575757,4594.300606060605,1798.7127272727282,1905504.9796969702,8570.090909090904
1799638.1111111126,7429.735252525255,3010.2424242424217,1844151.1211111106,12797.811212121213
1766855.0564646467,8059.621818181817,4359.420101010101,1802802.7070707062,21385.136464646457
1756683.6786868693,6123.222222222224,2564.615252525252,1759754.9389898991,20958.999090909096
1768361.9671717172,11894.165252525245,4163.863737373738,1755026.6286868686,18489.858585858583
1815752.5732323232,20149.521111111113,7246.866262626259,1753195.1995959578,34377.250404040395
2010030.153939394,40957.69696969695,13686.384242424236,1800402.1511111103,60269.02181818181
2542688.757979798,76163.95959595959,25635.25696969696,2020440.0101010103,119756.28393939396
3717745.1773737366,135249.0400000001,44819.745858585855,2556307.5228282833,215392.78222222236
6092479.734444442,217142.2112121213,78678.83585858591,3775806.290404039,378531.3392929293
8774536.438282829,138369.93646464648,76161.04838383838,6065812.391414141,563887.2387878785
11171608.680707071,117602.76474747474,46735.67787878787,8497204.729191922,362489.5817171717
13983854.154646464,124268.78575757575,54260.320808080774,11066190.723636365,310402.49242424243
15931494.442020196,114895.02666666663,47713.90666666668,13779171.380202016,346011.9130303031
