"","x"
"1",1
"2",0
"3",1
"4",1
"5",1
"6",2
"7",1
"8",1
"9",2
"10",0
"11",0
"12",1
"13",0
"14",1
"15",2
"16",0
"17",4
"18",3
"19",0
"20",1
"21",2
"22",4
"23",1
"24",1
"25",0
"26",0
"27",0
"28",0
"29",1
"30",0
"31",0
"32",2
"33",1
"34",1
"35",3
"36",0
"37",1
"38",0
"39",2
"40",1
"41",0
"42",0
"43",0
"44",3
"45",4
"46",0
"47",0
"48",0
"49",0
"50",1
"51",2
"52",0
"53",3
"54",1
"55",2
"56",3
"57",1
"58",1
"59",0
"60",0
"61",0
"62",1
"63",0
"64",1
"65",0
"66",6
"67",1
"68",0
"69",0
"70",0
"71",2
"72",0
"73",3
"74",0
"75",0
"76",1
"77",2
"78",0
"79",1
"80",1
"81",0
"82",0
"83",1
"84",2
"85",0
"86",2
"87",0
"88",1
"89",0
"90",0
"91",3
"92",1
"93",1
"94",3
"95",0
"96",2
"97",0
"98",3
"99",3
"100",0
"101",0
"102",1
"103",0
"104",0
"105",3
"106",1
"107",1
"108",1
"109",3
"110",1
"111",1
"112",0
"113",0
"114",2
"115",1
"116",1
"117",1
"118",2
"119",0
"120",1
"121",0
"122",2
"123",0
"124",1
"125",1
"126",1
"127",1
"128",2
"129",2
"130",1
"131",0
"132",1
"133",4
"134",2
"135",2
"136",0
"137",0
"138",5
"139",2
"140",1
"141",0
"142",2
"143",2
"144",2
"145",2
"146",3
"147",0
"148",5
"149",0
"150",0
"151",1
"152",1
"153",0
"154",4
"155",1
"156",1
"157",1
"158",2
"159",0
"160",1
"161",0
"162",2
"163",2
"164",0
"165",1
"166",1
"167",0
"168",1
"169",0
"170",1
"171",2
"172",0
"173",1
"174",2
"175",0
"176",2
"177",0
"178",2
"179",4
"180",1
"181",0
"182",3
"183",0
"184",0
"185",1
"186",0
"187",2
"188",0
"189",2
"190",0
"191",2
"192",0
"193",0
"194",0
"195",0
"196",2
"197",0
"198",2
"199",1
"200",1
"201",0
"202",1
"203",1
"204",1
"205",0
"206",0
"207",2
"208",0
"209",2
"210",1
"211",0
"212",2
"213",1
"214",4
"215",0
"216",0
"217",0
"218",0
"219",2
"220",0
"221",0
"222",3
"223",0
"224",1
"225",0
"226",1
"227",1
"228",1
"229",2
"230",1
"231",1
"232",1
"233",0
"234",5
"235",0
"236",0
"237",2
"238",0
"239",0
"240",1
"241",1
"242",2
"243",0
"244",0
"245",0
"246",2
"247",1
"248",2
"249",0
"250",0
"251",2
"252",0
"253",0
"254",1
"255",0
"256",2
"257",2
"258",0
"259",2
"260",0
"261",2
"262",1
"263",1
"264",0
"265",1
"266",1
"267",1
"268",3
"269",0
"270",2
"271",3
"272",1
"273",1
"274",1
"275",0
"276",1
"277",3
"278",2
"279",2
"280",1
"281",1
"282",2
"283",1
"284",1
"285",0
"286",3
"287",0
"288",1
"289",0
"290",0
"291",2
"292",1
"293",1
"294",0
"295",1
"296",2
"297",2
"298",0
"299",0
"300",2
"301",1
"302",2
"303",2
"304",0
"305",2
"306",0
"307",3
"308",1
"309",0
"310",0
"311",2
"312",1
"313",1
"314",0
"315",4
"316",0
"317",1
"318",1
"319",0
"320",0
"321",1
"322",1
"323",1
"324",1
"325",0
"326",0
"327",3
"328",2
"329",1
"330",0
"331",1
"332",1
"333",0
"334",0
"335",0
"336",2
"337",3
"338",2
"339",0
"340",1
"341",3
"342",1
"343",3
"344",1
"345",3
"346",0
"347",1
"348",3
"349",0
"350",2
"351",1
"352",3
"353",2
"354",2
"355",1
"356",2
"357",1
"358",1
"359",0
"360",0
"361",2
"362",0
"363",0
"364",1
"365",1
"366",1
"367",0
"368",1
"369",2
"370",2
"371",2
"372",0
"373",1
"374",0
"375",0
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",0
"384",4
"385",2
"386",1
"387",2
"388",0
"389",1
"390",0
"391",0
"392",1
"393",1
"394",0
"395",0
"396",1
"397",4
"398",0
"399",0
"400",1
"401",1
"402",0
"403",2
"404",2
"405",2
"406",4
"407",0
"408",2
"409",1
"410",1
"411",0
"412",1
"413",0
"414",0
"415",0
"416",1
"417",1
"418",1
"419",0
"420",1
"421",2
"422",0
"423",1
"424",1
"425",3
"426",1
"427",0
"428",2
"429",0
"430",1
"431",0
"432",0
"433",1
"434",0
"435",0
"436",0
"437",1
"438",0
"439",1
"440",2
"441",1
"442",2
"443",1
"444",3
"445",2
"446",1
"447",1
"448",2
"449",1
"450",0
"451",4
"452",0
"453",1
"454",1
"455",0
"456",1
"457",1
"458",0
"459",1
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",1
"467",0
"468",1
"469",2
"470",2
"471",3
"472",1
"473",0
"474",0
"475",1
"476",1
"477",2
"478",2
"479",2
"480",0
"481",0
"482",1
"483",2
"484",3
"485",1
"486",2
"487",1
"488",1
"489",0
"490",1
"491",4
"492",0
"493",1
"494",1
"495",1
"496",0
"497",0
"498",1
"499",1
"500",1
"501",0
"502",1
"503",4
"504",0
"505",1
"506",2
"507",0
"508",1
"509",0
"510",0
"511",0
"512",1
"513",0
"514",1
"515",1
"516",1
"517",1
"518",2
"519",1
"520",1
"521",1
"522",0
"523",1
"524",0
"525",0
"526",0
"527",1
"528",1
"529",0
"530",0
"531",0
"532",2
"533",3
"534",0
"535",3
"536",0
"537",0
"538",0
"539",0
"540",2
"541",0
"542",0
"543",3
"544",0
"545",0
"546",0
"547",0
"548",1
"549",0
"550",1
"551",0
"552",1
"553",0
"554",0
"555",2
"556",2
"557",0
"558",2
"559",1
"560",1
"561",1
"562",0
"563",0
"564",1
"565",0
"566",1
"567",2
"568",0
"569",1
"570",0
"571",1
"572",0
"573",1
"574",4
"575",1
"576",0
"577",0
"578",1
"579",1
"580",1
"581",2
"582",1
"583",0
"584",1
"585",0
"586",1
"587",0
"588",2
"589",1
"590",0
"591",0
"592",1
"593",0
"594",0
"595",1
"596",0
"597",2
"598",1
"599",1
"600",2
"601",0
"602",1
"603",1
"604",0
"605",0
"606",2
"607",1
"608",0
"609",0
"610",0
"611",0
"612",0
"613",2
"614",1
"615",2
"616",1
"617",2
"618",0
"619",0
"620",1
"621",0
"622",1
"623",2
"624",1
"625",0
"626",3
"627",3
"628",2
"629",1
"630",1
"631",1
"632",0
"633",1
"634",0
"635",3
"636",3
"637",1
"638",0
"639",0
"640",2
"641",2
"642",2
"643",1
"644",0
"645",0
"646",0
"647",0
"648",3
"649",1
"650",2
"651",1
"652",0
"653",0
"654",1
"655",0
"656",0
"657",2
"658",0
"659",2
"660",3
"661",2
"662",3
"663",2
"664",0
"665",1
"666",0
"667",0
"668",1
"669",3
"670",1
"671",1
"672",0
"673",0
"674",1
"675",1
