S,E,I,R,H
75026.728,570.397,350.873,2379373.2757400265,288720.543
76526.955,690.169,415.965,2388407.3539903564,961.171
79716.859,490.804,293.068,2396262.018388391,660.305
81481.895,595.473,351.223,2405057.4857515367,784.646
82760.096,816.414,479.883,2414157.955275675,1061.778
83627.666,1052.864,616.643,2423649.0218086513,1358.691
84026.336,1323.255,771.742,2433561.9409321775,1699.793
85178.473,917.288,674.41,2443657.8296881155,1901.524
86095.227,1110.358,647.363,2453323.781883236,1517.62
86436.796,1418.883,823.012,2463260.0069155646,1797.609
86419.339,1739.379,1012.553,2473530.648654804,2213.2
85705.898,2133.87,1249.524,2484396.19802044,2733.102
84129.334,2616.533,1542.36,2495980.833386142,3411.569
81671.965,3157.035,1884.996,2508361.5845310814,4239.018
80755.682,2213.807,1672.501,2521243.124283369,4766.696
81195.196,1482.764,1130.933,2532907.2799729635,3539.16
82335.779,1008.027,764.938,2543447.2871651617,2391.983
83914.243,692.04,521.914,2553286.2738736696,1629.213
84944.531,948.582,565.656,2562830.2455628845,1310.364
85641.62,1178.56,700.508,2572656.989763472,1571.926
85894.193,1459.03,866.916,2582871.1290029488,1942.369
86538.282,1191.006,875.166,2593408.5431680265,2305.042
86659.89,1598.986,951.186,2603759.93301089,2183.644
86556.099,1931.28,1149.198,2614291.055612696,2576.833
85568.978,2328.767,1391.861,2625642.793116085,3144.626
84985.394,1831.446,1360.417,2637759.9086195645,3625.425
84941.853,1571.983,979.219,2649488.1616069367,2802.324
84009.305,1732.843,1048.16,2661242.48215497,2422.61
83200.186,1890.266,1149.868,2672860.3769978313,2670.316
82283.115,2119.014,1296.782,2684477.9142978303,3031.411
80742.053,2406.376,1484.146,2696618.8954608464,3508.871
78781.6,2656.744,1660.621,2709225.6135545834,3975.295
76298.323,2867.31,1816.947,2722405.409072648,4428.423
74551.391,1957.07,1555.808,2736366.232998238,4671.602
73662.141,1879.361,1222.591,2748700.6119051757,3448.073
72767.982,2034.757,1318.744,2760327.5647006994,3341.029
71800.977,2015.855,1319.021,2772297.537496216,3363.798
70953.719,1954.002,1285.124,2784141.8227374754,3316.171
70419.801,1846.383,1217.483,2795749.598444753,3161.58
70168.827,1716.371,1137.647,2807018.9691835754,2965.838
70971.18,1068.149,870.52,2817917.242840743,2654.742
72652.118,594.218,491.723,2827786.8801109255,1697.154
74724.763,336.87,276.168,2836831.520756055,950.246
76951.497,192.894,156.272,2845437.8315931074,532.787
79048.94,194.186,124.082,2853847.199268011,329.884
81085.347,189.034,119.553,2862242.998706842,293.872
83074.065,186.772,117.218,2870538.745449681,285.438
85204.903,128.746,97.122,2878743.9345243005,257.228
87316.748,132.234,81.512,2886700.4593731235,206.487
89390.018,144.319,88.221,2894664.643221978,207.225
91463.651,143.966,87.519,2902416.1821136707,202.475
93573.335,121.444,89.29,2910132.3021102985,227.449
95743.029,92.324,58.007,2917622.236730674,169.23
97715.252,148.508,87.579,2925094.874225539,198.912
99087.607,246.847,146.596,2932934.3310944447,327.764
100387.633,348.617,205.612,2940723.7906881906,455.5
101507.952,554.471,325.435,2948414.794859517,717.102
102098.687,794.693,464.767,2956412.857468278,1020.605
102321.322,1144.364,669.003,2964540.1213240274,1471.716
102506.64,994.145,725.4,2973133.481860621,1928.456
102607.548,1165.921,689.133,2981566.649781625,1750.551
101687.073,1632.882,960.061,2990149.0221593273,2125.765
99840.824,2209.636,1308.903,2999469.461536832,2919.594
97327.581,2770.282,1657.215,3009221.438660383,3745.302
93897.658,3325.384,2019.585,3019847.0307949437,4645.799
89788.289,3776.358,2337.506,3031097.347660854,5515.378
87320.131,2775.044,2139.623,3042589.6234650803,5986.607
87190.208,1693.179,1341.986,3052270.0154541177,4406.217
88041.341,1048.851,830.084,3060110.2378415028,2728.672
89486.246,653.01,515.106,3066807.2163355956,1685.729
90846.336,695.911,434.126,3072728.960221592,1123.27
92096.204,758.032,469.775,3078571.4576026676,1122.64
93097.687,825.269,507.892,3084415.4299006877,1205.112
94127.622,684.249,503.976,3090478.6105496115,1279.851
95085.181,704.344,432.693,3096228.5281727496,1084.357
95921.481,761.507,465.876,3101958.1707957606,1091.23
