S,E,I,R,H
75058.45404,558.78332,344.80396,2379359.2324217847,939.18356
76579.88396,676.741,408.29114,2388375.526892273,943.3659
79600.09604,477.95664,284.47336,2396400.2233494297,642.86208
81346.82664,577.94254,341.24076,2405220.0668117055,763.57606
82506.17926,811.1854,476.71074,2414420.2728777723,1058.57072
83416.54772,1039.95706,609.36356,2423880.3264689464,1345.49946
83920.40754,1300.93582,761.21798,2433700.712589875,1676.37286
85114.25278,906.59274,666.75082,2443740.4043468977,1881.15314
86027.18002,1101.06414,641.90836,2453406.5773654445,1505.63056
86359.37128,1402.27256,815.37472,2463361.679357746,1777.9638
86301.16062,1707.14746,993.91,2473699.7015714548,2169.44416
85879.77602,2038.45314,1190.92906,2484376.3318007383,2607.02932
84955.06108,2414.32628,1418.4644,2495481.20862318,3125.28326
83157.9921,2884.41756,1710.57682,2507322.594052555,3812.8426
82583.48948,2041.40044,1528.63942,2519731.5849450096,4322.47032
83206.04824,1387.10606,1047.35188,2531075.66679358,3243.91938
84440.30518,956.97298,720.58868,2541438.1643225094,2228.8916
86066.07668,669.79028,501.42886,2551177.1750518032,1542.78362
87115.37674,944.50514,556.25042,2560672.8822607356,1271.27458
87754.40328,1204.35046,707.6745,2570511.2495246856,1567.89244
87846.11748,1527.84334,898.33726,2580818.9699245607,1989.17364
88229.87316,1272.68758,929.50832,2591580.9281056738,2422.16814
87881.48748,1743.82136,1029.3885,2602315.297670424,2344.79772
87079.3748,2092.0656,1239.72924,2613516.4629739006,2768.30068
85658.21964,2437.01132,1455.4703,2625381.697852866,3281.09636
85263.2626,1804.55888,1340.28114,2637529.062998947,3568.10944
85812.8844,1518.17556,941.30664,2648708.8500098693,2680.80788
85628.80462,1752.5337,1053.06096,2659598.3908774215,2410.65334
84998.64234,1999.86266,1206.17898,2670896.0130148353,2764.2191
83878.04498,2258.21304,1371.12202,2682669.445259146,3165.9504
82041.1084,2595.31624,1591.54954,2695023.4962792266,3720.5909
79722.6664,2885.23006,1791.74148,2707924.940612986,4256.52662
76906.09594,3140.90566,1981.0503,2721359.937173981,4800.69508
75202.0353,2185.14464,1730.27098,2735313.0510788527,5167.95136
74029.74384,2086.95286,1354.95526,2747993.0529472255,3807.4342
72201.40998,2213.68322,1440.50812,2760593.4463792085,3661.15502
70987.53264,2169.6096,1423.13932,2772853.1089392058,3654.5358
69982.24478,2066.86642,1365.13988,2784920.41665892,3542.71956
