S,E,I,R,H
1361232.4364524547,28404.041432432456,11322.423294294293,1102113.8078038048,1126804.1042552558
1819795.8828578577,38265.91235135131,14693.759534534547,1362079.7568358346,80647.323082082
1255427.7668858871,5734.087671671674,2206.4338098098106,1213410.0246636628,10072.96694194194
1109586.1661411403,5075.845116116113,2015.8711421421438,1134721.5552742756,7907.754438438445
1180355.8586426442,7061.311915915918,2647.180491491497,1220370.8133643668,10646.773489489484
1045567.8903343328,11069.26677077079,3980.249800800804,1105738.9420130127,15369.553072072062
943690.8559599589,18121.773748748754,6348.684120120125,974041.2753863866,27170.374525525538
836098.9081791786,8234.081137137147,4207.072972972977,836860.5463053065,31265.84326726725
706234.3978688695,10107.23507107108,3822.4737047047065,692705.5348308302,16641.711311311312
681061.8802642641,16148.692003003,5724.506362362361,626478.0836026022,25165.57369269269
724410.204283283,22817.512871871862,8453.716907907896,622232.7082672672,36952.39039039044
586815.4170130132,28091.3024024024,10440.614038038028,500132.10083683673,45049.419015015024
450779.9864304304,30453.09000100102,11282.609009009017,317389.67114214203,51480.70194094106
543155.2089839843,29026.57034534538,12248.924908908917,300747.26324724755,59752.37805405405
657559.6024784792,11209.1509019019,7687.343342342347,447523.18108108157,56069.95954354352
712784.6502342338,4543.780084084087,3542.0665775775797,581162.1276786774,26073.395795795765
765287.9100690699,2847.409680680685,1826.608764764767,681557.5279919921,12222.773484484489
793140.9488999001,1813.7541541541548,1249.7063103103096,740665.8440350357,7319.294925925919
864454.4875265277,4441.334610610607,1805.8274914914934,800218.2759149142,7198.055559559554
944823.5831831836,7844.286686686688,3024.89282882883,864966.839495495,12880.731255255245
1160682.2500010019,13163.406506506486,5003.816760760761,1025054.822501502,22682.659498498488
1567082.1666426396,9293.04901301302,5598.542986986994,1389562.8427267235,36153.5758118118
2277201.5614614645,16381.269073073083,6715.8672712712705,2008990.4806366374,33566.20947347351
3176414.327526526,22506.13573573574,9255.440236236227,2880198.298369367,44735.48859959959
3180136.1796956956,31479.24595695696,12405.094773773764,3129977.4962602644,57482.64476876876
2801901.6864504493,25616.725809809806,14111.080191191217,3024081.2361871917,88878.68706206234
2106920.5899809804,28476.172883883886,11010.057096096105,2479318.4404154154,76452.55758158157
915529.5174924941,37220.981332332325,13408.406806806814,1187870.1172532537,62660.848748748824
279764.1115155155,19935.94919319319,7781.367943943939,268420.0656656662,35626.148292292295
270645.0568318321,12396.812616616631,5527.505981981975,163496.55363263274,24654.362441441408
400383.61380480486,13701.009633633637,6165.223907907909,248086.47084584608,31145.678037037072
545382.5965965975,14803.341805805809,6987.5348938939,355651.0147897905,33637.8778528529
678742.1568278271,14205.49739739738,7237.199390390406,488221.8954954949,36633.167238238326
745397.6177367374,6573.804904904912,4710.787923923923,660421.6823213212,36485.24083683685
453232.4655845849,9085.227906906917,4413.981700700705,485715.974325325,23129.547218218187
72888.8785545545,6041.3412922922935,3268.304768768765,59609.24095195172,11472.490649649657
100369.70017117115,6985.961936936924,3428.4309899899918,62143.412803803716,14130.583779779754
155215.0971361362,7141.405401401412,3892.387011011014,94019.70067567551,16771.529288288268
228913.24464364335,6991.597908908915,3476.3440550550586,154271.41752852852,19335.38898898898
312205.3304014013,6689.711070070063,3421.766157157154,227780.81378878874,18690.446202202187
359116.52412412374,3213.0018008008,2494.976576576574,297772.56676576595,16098.407843843868
370617.73380980955,1457.373849849848,1094.512783783784,334917.26678578544,8402.94322722722
330502.84167267266,728.9940940940935,537.9377137137132,315089.21861761785,3664.1336176176133
276235.7617527528,401.9847487487451,285.1511671671674,270143.7671981981,1634.4040350350358
238377.33773773772,594.5479519519508,278.1934694694692,237269.16790390367,1095.3759199199187
218507.30789889902,694.9197637637641,353.2764674674678,221268.44809209227,1320.6562722722729
215458.90568068076,870.4284444444448,410.8152912912914,214545.42740240213,1731.898054054057
230446.78037137154,478.8403243243249,297.1402562562561,228766.20876776808,1364.7147307307307
226497.82231831845,466.8781221221218,213.09094694694676,226527.81177577548,770.6805115115116
223606.5802562565,618.8380770770766,271.5817407407411,222390.0727087095,1028.9333083083122
206998.66786686698,818.2911351351348,326.2659049049024,203900.58008408386,1362.7681431431495
212567.21599099122,506.45732132132105,299.20910910910925,209914.16039939923,1410.53993893894
188384.8029619622,332.5555795795798,159.882833833834,189786.08248248312,814.589689689691
220128.91340940923,584.7927287287285,243.3411001001002,217438.8068858855,803.7700260260261
354317.6622132131,1004.0035945945939,412.0448288288288,324777.20270270196,1318.3646686686707
146616.00831931946,1404.366677677681,575.9153713713711,135245.85280880897,2009.5075075075074
205161.79148748712,1897.5447037037022,787.863638638637,203497.9678038041,2228.5561521521518
42061.588619619644,2866.1509019018995,1217.8745855855864,30477.546937937932,3299.6686436436394
202380.7190350351,3893.378882882878,1680.3493403403422,179418.06834734764,5035.110454454453
153219.40980980982,2951.5935685685695,1893.9899899899933,119192.92369869951,8959.595659659666
85753.96566166168,3971.229988988989,1663.9272382382399,56059.61320920918,6207.170569569572
80036.93060160159,7536.98906506506,2928.6459249249283,29621.60735135141,10598.211986987
45763.076100100065,6943.965469469471,3007.9395305305293,12110.66990090085,8507.304468468461
112096.22966866866,10947.712188188196,4870.761536536543,38555.377293293364,16975.752548548546
235649.7247607606,15236.240784784783,7010.629404404408,99462.75062162183,28964.134733733732
419992.24772672623,17141.205041041037,8375.58755155155,221458.92251351333,40378.99811411417
578405.5754144158,8309.123187187186,6329.674545545542,406593.23643243266,43475.35190290297
685684.573309309,3760.155114114113,2958.734538538538,585669.983854856,22763.493404404377
821647.5742932926,2300.122921921923,1705.9528968969005,756624.8086326377,11034.436852852856
975763.040524523,1398.6625625625632,1040.4512152152172,932004.0149709715,6316.285844844856
1180487.1662702719,2101.262341341339,991.3214454454458,1142411.7896606629,4067.048148148148
1266731.4057897872,3199.688664664665,1420.7311061061114,1242133.6665455452,5807.4418418418445
1260099.0280590588,4939.247886886891,2075.4257617617627,1256118.022918917,8761.110566566573
1172190.735851852,4171.562561561559,2485.250674674678,1195556.6262172177,12173.31811711713
1041314.2945335336,4945.847511511503,2021.570321321322,1072829.6821581589,9606.249800800808
868744.8625015018,4760.188139139144,1946.7713953953953,885817.7932972978,8335.17227227227
660108.0351351349,5353.96251851852,2072.0645355355355,670685.4637827825,8395.437212212217
583069.7034794795,4345.399655655655,2556.0300460460485,581519.7108468479,12811.976772772765
569069.1923763758,2995.7282522522537,1350.8748658658646,570570.9403153143,9214.695571571578
564389.3982292291,4946.689965965969,1987.5355795795795,561641.9915505499,8129.539235235231
531093.0836876879,6366.75451351352,2571.3959069069087,500246.22840440326,10899.160260260254
553491.6463023028,7368.192688688698,2991.1956666666665,509440.72683783795,12076.470461461462
531294.5497807807,9212.412248248254,3520.3671981981993,499200.49467067106,14728.136552552567
547152.0935775783,12177.001120120129,5125.779123123124,499778.65341241163,21346.804928928927
626025.4851491492,17022.30736336337,7037.896552552555,532157.2568568565,31862.830126126133
750512.7286926921,10080.409925925907,6116.378753753742,630226.4644554569,41426.39870270272
