S,E,I,R,H
73778.0607,599.59795,454.9688,2369769.477040081,278258.9409
75508.7982,560.8571,347.8325,2378903.7859400925,981.02765
78391.56965,387.01965,231.187,2387030.666690582,528.0719
80010.83305,519.3765,308.0361,2395924.5037390073,694.35385
81087.0259,749.6299,443.28955,2405206.1314016744,991.4931
82009.27815,967.5788,569.93805,2414667.55327478,1267.50535
82562.2948,1212.6441,713.32055,2424457.935358918,1581.6823
82608.99475,1517.30925,893.04155,2434663.9283828717,1982.37365
83621.67,1015.97395,752.03765,2445038.319087274,2136.44215
84390.3934,1186.8009,697.76585,2454901.7697332907,1653.20745
84692.63875,1420.96085,833.0753,2464992.023014747,1837.04035
84559.039,1682.7637,988.00945,2475472.1075048437,2180.53695
83912.1667,1990.14355,1173.0842,2486410.0955707207,2603.2658
82759.9071,2355.25945,1398.00575,2497755.8880865346,3126.8981
80910.33305,2793.09805,1674.9714,2509697.178030708,3791.6093
80521.337,1931.4525,1459.83305,2521972.4917328097,4176.8914
81220.15405,1289.73535,983.00095,2533223.2826235113,3078.7737
82487.6843,874.7317,664.5291,2543529.0860659457,2078.5431
84164.63095,601.09515,453.83005,2553194.914723378,1411.34745
85340.3459,828.3409,492.09095,2562628.2368139946,1139.0143
86222.8159,1030.37585,609.6488,2572314.8372144066,1366.04445
86693.18435,1274.1268,753.483,2582370.473853458,1683.17695
87431.51595,1038.64665,760.64815,2592782.186419011,1992.40735
87668.0913,1370.40095,810.4617,2603121.0410605334,1851.0282
87517.71355,1615.50895,956.0686,2613838.341513663,2135.0057
87167.2832,1833.8497,1088.2859,2624842.980316518,2437.36855
87475.0065,1409.70305,1037.7742,2636014.6818693723,2734.39735
88265.27455,1221.27015,748.2916,2646746.380306634,2102.78255
88382.373,1402.2105,832.2372,2657415.9694553553,1873.9386
88086.93185,1672.62705,995.0623,2668346.0757985865,2239.4337
86386.468,2227.10325,1336.22295,2680227.0310996813,3035.621
83981.9993,2747.4567,1668.90555,2692853.108910924,3846.67885
80696.7038,3241.2609,2001.5995,2706385.014354518,4713.80455
76071.47855,3714.65645,2350.6632,2721251.1908742175,5705.917
73933.64105,2466.30815,1963.94915,2736066.6036489005,5897.21655
72763.70615,2250.4897,1470.93525,2748979.57380277,4165.142
71431.2625,2218.39955,1449.12055,2761350.265098938,3703.54305
70242.11635,2130.07585,1403.1412,2773658.057094829,3621.7061
69327.8252,1966.9709,1303.77675,2785736.0948844724,3401.6506
