S,E,I,R,H
1297996.8857894703,28653.175545337206,17028.612897684965,1089390.7444181172,1408342.42690224
1549352.4421400782,23960.76723592347,9622.909581416478,1275307.075493727,76777.34007318113
1079373.0707072949,5993.929209700499,2247.459802740137,1065601.897570872,10588.390256302864
1101743.6371025583,5326.06605008004,1998.6529578379157,1108026.674958147,8684.937883971716
1089717.8982323536,6974.979542967149,2629.3700684809046,1101200.010981828,10795.468231721583
1053818.3924930622,9706.908499802501,3589.0929476074175,1076842.4597290244,14782.095933106599
1000059.3537179279,13888.052703532667,5055.333141094546,1025999.1988483368,21259.070818250995
956877.4807177859,19489.766416498347,7159.613540427095,967982.6288912221,30760.114950224986
908575.6697760657,8850.523549874992,5060.2983468548355,897283.637957593,36301.601453509684
841678.0191553974,13810.107578876441,5089.847174296206,815992.0162033091,24859.515477363802
698112.5244539673,20346.355988799492,7431.658674843739,632593.4196645429,32790.73350817293
537517.0348791807,19753.119000327344,7473.191521973585,437132.1168056192,32318.56378734939
502823.1403328578,21314.695127516312,8234.837199937514,359421.2385538639,36692.164547977394
594486.7150257274,24778.102529036492,9957.002201087556,372563.9083973322,46345.75539727977
818120.2031554035,27670.44704414984,11874.933845569787,505532.2893259783,59506.46991747347
951965.7146491272,11501.037091604541,7745.54001931095,709031.8702204506,60407.84652751621
1031235.7175183176,5017.003723776199,3499.983575568775,884675.3097389365,29372.104168605943
1068654.8561014005,2651.1885971798647,1833.3853905470257,988462.5920207147,13286.809570076024
1084713.5946036081,1710.419536976853,1134.1948769338383,1044352.1705879641,7118.168790737005
1115683.9615404403,4097.939812168143,1694.7433844467173,1088773.6457750772,6533.4161998075
1153412.4067503226,8245.22170419524,3199.4311254537533,1137783.2532826322,13164.88202037857
1195968.1781064628,16675.039727986412,6254.759441972079,1173001.0798059555,27810.80432620635
1258906.126289889,14408.3552947022,8114.351992599596,1187844.2191129962,52697.63199055904
1432536.9554684411,24727.046396479825,9214.040079913982,1315044.9608887185,45283.62632106623
1626067.91528696,29177.225039001973,10630.93664199222,1696479.438588004,48556.738599239754
1405593.8091232264,43507.09417858644,15176.840189369379,1796509.1611716228,67564.110206708
582470.4668941337,16606.820480101556,9211.70445738286,660235.7588959297,57827.63556377557
310072.99171434593,6802.063425561252,2893.382394079784,237579.8542975049,18654.7833078628
322659.2419230551,8570.207153435193,3507.9821038651608,208856.98971446246,14905.56804784003
421994.8194508825,11714.995324766205,4812.946505075318,268101.31473049545,21155.67560817155
555883.9534144698,13375.257029961489,5708.818250310057,390309.5595939394,25529.288446412345
655084.0325118222,15224.987746897332,6797.715753185169,486297.6975855914,31315.9506934446
746943.363515177,17335.330551287643,7934.289536054258,582119.5760413588,38774.62439081719
665584.467399565,22585.530826581242,10422.796894782208,546345.6104875674,53275.85107699376
507348.0644193969,9897.84089862243,7026.7655852567705,440714.46570786403,51237.32797177645
478906.05056560604,8891.723917195877,4446.506941186951,427074.86028211226,25561.513903672774
510531.9441666462,9754.180706785357,4805.750566525826,461905.2527793486,23444.79936360827
538304.4175736686,10221.421138434484,5001.7054799839925,496149.6366177675,25258.670176068816
567064.9774925511,11034.092085243481,5438.765079031439,527900.6581248923,28938.727623171242
585488.1518301887,11656.755609077909,5711.994177268901,542435.7579672561,31593.90644648233
589405.9405889382,11366.655274441204,5509.374679893974,541287.3722312879,31665.79991518566
544471.2887143423,4837.777534274206,3449.9627367343496,509990.7777736003,26194.081628178767
489058.43039847905,1808.0750615305774,1364.166418258417,473099.4919584403,11240.237500665067
445160.75212328276,795.7114860143024,589.955892984649,439749.4586432313,4180.813887804395
426998.1001764896,395.92379658733086,292.93588599180475,426918.81120513746,1861.4726686734234
419931.0916329788,575.1215212660632,278.1558175883822,423590.975910035,1117.9516092779597
393716.9238140317,716.5692437596952,326.0562762513084,397449.0879452369,1350.7191028326351
330327.53511074436,771.5872579229017,345.2068473198692,330885.2819566966,1480.1917075753836
312335.39307543205,419.8230666308295,258.28957765638376,311876.07906692964,1330.5194620507175
301749.8705479175,454.8902913120631,200.9701361468182,300442.8835644763,839.6774727711386
294935.7539921371,511.82307419371193,221.723333006651,293319.2639776986,872.0141084554202
300381.0817419839,645.9096593929678,275.58218780689094,299136.92488480115,1053.6896562803022
300186.9936618601,422.732664330719,258.8987972498617,299114.40118582145,1210.9079675758815
