"time","cases"
1940.03832991102,"NA"
1940.07665982204,"NA"
1940.11498973306,"NA"
1940.15331964408,"NA"
1940.1916495551,"NA"
1940.22997946612,"NA"
1940.26830937714,"NA"
1940.30663928816,"NA"
1940.34496919918,"NA"
1940.3832991102,"NA"
1940.42162902122,"NA"
1940.45995893224,"NA"
1940.49828884326,"NA"
1940.53661875428,"NA"
1940.5749486653,"NA"
1940.61327857632,"NA"
1940.65160848734,"NA"
1940.68993839836,"NA"
1940.72826830938,"NA"
1940.7665982204,"NA"
1940.80492813142,"NA"
1940.84325804244,"NA"
1940.88158795346,"NA"
1940.91991786448,"NA"
1940.9582477755,"NA"
1940.99657768652,"NA"
1941.03490759754,"NA"
1941.07323750856,"NA"
1941.11156741958,"NA"
1941.1498973306,"NA"
1941.18822724162,"NA"
1941.22655715264,"NA"
1941.26488706366,"NA"
1941.30321697468,"NA"
1941.34154688569,"NA"
1941.37987679671,"NA"
1941.41820670773,"NA"
1941.45653661875,"NA"
1941.49486652977,"NA"
1941.53319644079,"NA"
1941.57152635181,"NA"
1941.60985626283,"NA"
1941.64818617385,"NA"
1941.68651608487,"NA"
1941.72484599589,"NA"
1941.76317590691,"NA"
1941.80150581793,"NA"
1941.83983572895,"NA"
1941.87816563997,"NA"
1941.91649555099,"NA"
1941.95482546201,"NA"
1941.99315537303,"NA"
1942.03148528405,"NA"
1942.06981519507,"NA"
1942.10814510609,"NA"
1942.14647501711,"NA"
1942.18480492813,"NA"
1942.22313483915,"NA"
1942.26146475017,"NA"
1942.29979466119,"NA"
1942.33812457221,"NA"
1942.37645448323,"NA"
1942.41478439425,"NA"
1942.45311430527,"NA"
1942.49144421629,"NA"
1942.52977412731,"NA"
1942.56810403833,"NA"
1942.60643394935,"NA"
1942.64476386037,"NA"
1942.68309377139,"NA"
1942.72142368241,"NA"
1942.75975359343,"NA"
1942.79808350445,"NA"
1942.83641341547,"NA"
1942.87474332649,"NA"
1942.91307323751,"NA"
1942.95140314853,"NA"
1942.98973305955,"NA"
