S,E,I,R,H
73763.5004,602.71405,457.2376,2369778.6524400804,278265.57515
75489.39045,563.64895,349.63635,2378918.5979900924,986.1973
78457.8358,385.2222,229.95025,2386967.434740582,524.7956
80044.13785,521.13115,309.2387,2395888.2416890073,696.5692
81108.3668,753.15015,445.0674,2405179.4924016744,995.20855
82031.46265,971.32655,571.7351,2414639.8239747803,1272.6696
82595.933,1215.994,715.1937,2424419.0741089177,1586.1736
82644.4582,1521.7006,895.93515,2434621.1799828717,1987.01
83653.2727,1020.51175,755.29825,2444998.917987274,2146.279
84421.13685,1187.7183,698.2316,2454869.643133291,1653.03415
84953.1668,1381.03875,808.42825,2464796.064114747,1780.02125
85617.23115,1590.5772,929.4449,2474564.666404844,2039.48365
85410.51685,1961.16775,1148.2077,2484965.597720721,2522.28715
84218.91765,2429.4029,1431.5069,2496189.2329365346,3168.2808
81985.59015,2966.24595,1768.93415,2508354.8102807095,3968.29905
81158.2099,2079.87255,1566.68115,2521080.350682811,4462.9092
81526.43525,1392.7948,1059.7793,2532737.1636235113,3311.7365
82533.30685,941.6363,715.0793,2543366.0087159458,2234.4046
83970.8375,639.74825,483.53165,2553320.3534733783,1504.0291
84891.7768,864.06045,514.4632,2563018.714113995,1194.1428
85554.6117,1042.03035,618.6978,2572962.337914407,1391.19765
85944.7839,1245.59755,739.1193,2583161.7672534585,1659.50075
86757.245,987.6914,725.4262,2593542.6345690107,1908.3775
87246.1193,1270.83745,752.57875,2603700.459510533,1726.32255
87470.58655,1482.08485,877.4244,2614097.5368136633,1962.12425
87426.6897,1700.3281,1008.4039,2624796.977416518,2256.42615
87879.879,1321.75175,971.98525,2635763.549619372,2557.3249
88925.12845,1173.98945,717.22635,2646164.872356634,2009.08305
89316.76,1434.8425,848.02205,2656433.165605356,1897.99475
89016.07115,1761.9036,1043.82665,2667278.8955985866,2332.49955
87104.00845,2290.27965,1369.9242,2679412.6129996805,3095.90075
84589.76255,2793.28345,1692.00255,2692176.4219109244,3884.22885
81268.764,3257.6706,2006.1474,2705791.9965545186,4705.4458
76742.83435,3659.7625,2307.4523,2720677.9399242178,5577.4114
74592.5283,2438.2356,1935.74425,2735463.993848901,5791.20475
73405.2107,2243.60265,1460.70435,2748355.1872027703,4118.99755
72048.19715,2231.82925,1452.98815,2760716.0331489374,3695.9918
70805.98,2160.8843,1418.67605,2773047.850144829,3645.67785
69800.96275,2013.1038,1331.54065,2785189.060534473,3459.117
69105.77145,1825.76875,1214.2607,2797087.464542034,3182.1332
68773.01235,1626.3048,1085.789,2808556.7080306825,2862.12275
69504.39415,972.9349,795.9102,2819553.8525873465,2454.8436
71091.74255,521.0011,433.13085,2829479.064609666,1509.62635
73025.97395,283.197,233.4031,2838626.7477044277,810.9411
75198.2985,152.4468,124.7902,2847262.9590908675,428.0427
77400.9181,142.95375,92.31915,2855578.216265247,247.47805
79471.7455,141.69895,90.3479,2863933.1403564787,225.5851
81605.31425,131.74065,83.4032,2872096.342347375,205.17095
83672.12565,103.1771,78.2518,2880321.150972343,209.86055
85771.3938,106.0652,65.95555,2888287.538820949,167.23295
87861.71065,107.84935,66.3841,2896251.257119488,157.903
89801.91105,135.3689,82.74325,2904091.29491311,194.4392
91840.8008,109.30665,80.43705,2911885.826608982,207.692
93807.52455,104.77945,66.33275,2919536.959977707,195.50115
95478.184,177.7984,106.53745,2927283.6933746305,244.3225
96994.21145,276.20425,164.3194,2934980.645994073,371.91335
98206.81545,428.6901,254.18935,2942775.9577870653,571.30145
99456.7671,546.90855,323.19025,2950475.7869570362,722.079
99272.20335,874.1041,517.03155,2959107.665468611,1157.2086
99204.70785,1171.0952,693.52265,2967605.484623829,1550.32315
99193.64095,1018.73415,753.3575,2976393.934260422,2029.07245
99218.0245,1167.61445,699.7529,2984943.859929708,1807.57385
98886.5352,1472.71425,875.8598,2993193.928906783,1972.4597
97087.38705,2015.81255,1208.45305,3002517.171887036,2740.5293
94681.21325,2519.69565,1526.2757,3012249.332060532,3507.2729
91623.0904,2980.90705,1830.2292,3022655.4311428987,4278.927
88273.2801,3305.589,2060.77665,3033359.854908286,4915.7062
86422.18635,2392.2804,1853.4011,3044156.5536134425,5213.9856
86599.533,1445.86515,1149.94315,3053300.0471523586,3785.18795
87629.01755,887.4888,704.20765,3060809.7998401234,2324.57045
89145.03385,549.1618,433.95885,3067333.4238331295,1425.8874
90531.45795,583.37995,364.54045,3073225.9548713337,946.2647
91775.89225,629.95105,390.511,3079099.1143030394,934.6006
92964.603,670.156,413.4489,3084798.070000588,982.39705
94363.49155,540.3911,396.43105,3090494.1438496504,1009.9978
95844.02195,546.1934,334.63235,3095725.8984716376,837.3607
97011.5109,610.45025,371.19965,3101113.8739959826,864.113
97741.4674,741.5707,449.8518,3106583.246431759,1042.8069
98543.96425,677.82015,491.73165,3112162.813148645,1228.16435
99849.29475,526.1377,340.9424,3117324.3288412825,1028.2092
100484.5702,721.88505,434.18145,3122463.886110211,1003.1559
100348.36285,1049.0951,631.23005,3127997.8257858967,1443.96325
99676.6071,1407.3022,849.18075,3133865.7795163016,1949.8863
98793.70815,1773.5235,1074.6321,3139840.219151125,2476.8379
97276.23975,2104.8914,1284.1487,3146303.9030096377,2983.50335
95363.427,2347.17395,1443.5961,3153263.4674707586,3390.86175
94394.4209,1702.42865,1298.00045,3160230.866164026,3578.30015
94292.4341,1484.70835,934.93355,3166121.691807039,2625.15535
93932.5781,1590.21825,987.15155,3171268.775061321,2357.9917
93050.857,1745.59085,1087.75625,3176829.7296997416,2608.255
91997.6767,1886.68915,1180.87175,3182373.2191256573,2849.4399
90713.23475,2012.04575,1267.3598,3188114.393971266,3080.77095
89407.3891,2087.43205,1323.1436,3193797.2061860953,3242.85875
88903.6018,1518.43445,1176.4491,3199424.8373503983,3274.2097
89766.56985,883.22025,705.4337,3203963.89526637,2335.79145
91227.2277,521.17035,415.08965,3207309.564860463,1374.6881
93118.05245,307.0217,242.67645,3209892.804001943,798.43725
94929.3124,298.7636,186.89175,3212051.509583477,495.0476
96488.1975,311.76155,192.6326,3214357.139362068,459.933
97971.0134,315.69905,194.021,3216533.117045937,459.12325
99515.37935,256.0997,184.09845,3218722.392478836,454.5267
101109.1838,236.2704,144.17625,3220635.795073383,365.11015
102425.2402,296.14885,178.9738,3222653.586416528,413.54935
103524.9041,393.68055,237.0101,3224655.861144877,544.36605
104516.7925,413.38775,292.1683,3226788.2428633994,703.74265
106010.74595,281.6146,196.8803,3228593.0921059367,605.8904
106636.29665,459.8218,274.01615,3230688.394422219,631.0078
106848.3816,668.38055,397.8659,3233034.464097797,897.04695
106579.30165,970.8254,578.0105,3235581.625060889,1304.09355
105610.6086,1352.1096,808.1216,3238653.193609125,1829.22645
104624.4492,1659.186,995.66275,3241697.5354320398,2265.56425
103053.75335,2006.65985,1211.11315,3245248.275001934,2774.3645
99918.23855,1969.4786,1459.56155,3250525.1072497005,3768.8343
98780.974,1740.43225,1107.1074,3254596.456900129,3237.57975
97008.4949,2026.1349,1254.64275,3258119.7923689913,2988.26995
94750.13565,2291.4028,1430.75215,3262096.7986577996,3435.2583
92095.5517,2512.3306,1586.9952,3266404.6374003035,3864.54045
89435.3325,2627.06325,1678.8078,3270833.430544114,4150.49825
86926.99985,2638.4881,1704.88515,3275186.0074008894,4281.7139
