S,E,I,R,H
1286591.9092953082,28557.065535874324,16827.001796329834,1079369.3079662002,1384303.2938171688
1535820.4313203662,23685.4055841767,9593.644990927067,1263537.051364508,76047.70635802804
1142891.06329152,6749.6160079603915,2545.767663320665,1094375.6808659423,12224.155828431407
1097214.7884867967,5184.737786566835,1957.5663006250597,1084663.2975055864,8358.269824851148
1092783.239619737,7200.94715233513,2697.9252535026826,1085088.2910996322,11320.190166405851
1074273.9326016137,9744.28372928395,3627.8536206710446,1077438.462632635,15250.262448962092
1040169.7918005937,13681.807954397695,5022.001880404047,1049401.3715000818,21243.547340407007
1007701.6199337608,18871.15951761587,6910.1298509700355,1010248.4157441849,30095.690384519334
982532.5040599139,8819.798551865057,5115.841689021937,975452.8560035046,35692.320075004056
946736.4227432127,13699.569523586075,5028.554689174447,934036.2049346793,24357.95718163649
1099291.8886722007,25740.58577772639,9412.826693272142,929221.3595655353,43249.80058846826
1246788.270033182,20052.08594445734,7698.734200700092,1011724.8108549787,35531.70981816835
1011876.8086565154,16786.873953635102,6544.968509135452,874157.3893701824,28311.092449500098
1058565.6933531456,22148.238183498986,8749.151909985536,930364.3846957288,38719.44492360611
1229240.3663913016,31065.497033449195,12350.555241539749,1107917.076818767,57556.554446820024
1335424.6448742328,16521.530983046643,10065.443456850295,1288785.9497125251,73582.96570364518
1354432.193617129,9041.981192019526,5567.790181019074,1367738.487886968,44973.67155132735
1333166.1472004417,5367.720708345454,3248.3179274063687,1372645.400716042,24842.458221751123
1270924.396613496,3346.182181046554,2003.4639714760704,1318263.6015973003,14635.504028391437
1137855.3405487814,7755.784385016737,2885.793535436798,1208793.213040447,12196.382427281367
984784.9823722317,12543.981427948946,4631.945972458641,1038293.8827461154,19767.861677561352
923999.5227769302,17604.304199207432,6504.530694044682,911707.2809634911,29408.762037539407
973109.9710735693,10711.198625971268,6131.610034061733,910890.35183883,38333.28485799247
1023539.4246387507,19117.39659732735,7184.876942284559,925867.5998197361,34718.24712385386
975185.6651923537,27394.458873421103,10245.122440762007,826708.5409494096,48488.56884037978
798320.0010139622,28866.48857481852,10986.266078093915,608376.4910936649,52448.959994177196
650877.5420361038,13112.826963285755,7704.258145344763,487927.321210061,50199.03209159462
