"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",-11.6856365078075
"106",-6.78871418391505
"107",-6.72282048461887
"108",-5.38389947999328
"109",-5.65895893664175
"110",-5.87689871347117
"111",-7.61985138213439
"112",-9.59442649348753
"113",-9.66885494834615
"114",-11.1631347645975
"115",-12.3087909379934
"116",-16.147911489687
"117",-22.4397274027402
"118",-24.1082326929434
"119",-26.5680507491429
"120",-27.1395347256361
"121",-26.3825645160304
"122",-25.6773915870656
"123",-24.0844931200194
"124",-23.7485076234679
"125",-23.7912765980702
"126",-21.7177367383739
"127",-22.0381781166273
"128",-19.940601952853
"129",-19.6776374889797
"130",-18.2583589869683
"131",-11.6359552355632
"132",-6.77461032202987
"133",-8.39372268067426
"134",-7.34873583203985
"135",-8.05191323359102
"136",-14.1335661161797
"137",-11.9004513715265
"138",-8.65314857496061
"139",-6.94131954518657
"140",-6.64963962090473
"141",-7.50037226690427
"142",-9.32113717629844
"143",-13.0811206818982
"144",-15.7497398131389
"145",-18.5484093704859
"146",-18.2607508367403
"147",-15.0207146561163
"148",-12.3279328779586
"149",-5.4206715820799
"150",-6.99862553326829
"151",-4.54992189242595
"152",-4.77740019860762
"153",-4.72996999192665
"154",-4.01733860050019
