S,E,I,R,H
50939.5654,323.5497,180.5937,1295974.8574193297,375.0789
53408.2832,505.5773,277.2762,1303946.5987698084,561.1749
55346.4618,820.1141,444.4766,1312245.8522202678,881.2349
56377.3409,1359.4486,732.4412,1321106.8432706709,1435.3952
55930.021,2238.9426,1212.006,1330914.2736211363,2375.0594
53328.4112,3512.6487,1939.8688,1342233.4837713116,3879.1623
51953.8661,2796.002,1985.2307,1354998.4829217773,5319.0602
49024.6152,3812.2157,2195.7221,1367420.1979721864,4967.8865
44200.2151,4812.4446,2880.8363,1381278.4242226714,6397.4133
38640.5521,5262.7959,3326.4455,1396661.2959731396,7915.023
33662.9267,4959.1611,3316.9424,1412671.2285228784,8534.4955
30166.3098,4126.2916,2895.3844,1428141.442173338,7987.1105
28301.2854,3169.3965,2294.4848,1442283.430523743,6651.7392
29140.9337,1570.0799,1393.0015,1454663.7513742012,4883.7078
31255.6891,777.3528,687.7438,1464766.150024678,2598.4072
33875.4855,406.4688,350.9981,1473573.1525748775,1295.6255
36746.2109,224.1728,188.4249,1481766.4656253406,675.0714
39531.4865,241.1879,157.5407,1489714.2283757555,421.8712
42304.9294,251.5161,159.9732,1497647.1940262185,400.0605
45025.5713,278.3235,172.81,1505606.0771766992,418.7115
47813.2191,218.7742,164.5763,1513605.3816271794,450.6792
50474.3362,295.7997,176.7556,1521574.228977643,413.7965
52996.1975,383.205,224.1938,1529636.6934280575,500.2375
55286.164,517.2584,299.1167,1537856.919878522,650.346
57584.531,473.6079,336.2941,1546284.1952287422,850.1152
59957.2178,506.7654,293.338,1554640.4762792091,771.2159
61793.3304,773.5397,429.82,1563120.2766296265,887.8523
62933.7571,1188.3895,657.2225,1572056.7668801097,1336.1759
62999.4228,1827.6284,1011.411,1581716.843030578,2052.9451
61528.2634,2739.1542,1533.2202,1592473.8366801837,3143.2404
58142.5994,3870.2888,2216.4164,1604764.3391306482,4669.2462
52914.9101,4957.0998,2948.7727,1618892.0303810616,6498.6261
49896.2589,3568.7762,2724.5957,1634242.351431524,7715.4209
47472.5941,3556.3261,2240.312,1647881.9192820012,5996.196
44416.6037,3688.2138,2370.027,1661395.4762322328,5863.1142
41631.7785,3544.8328,2342.6124,1675070.2662826981,6019.0339
39452.0787,3194.2384,2164.4653,1688497.8768331178,5763.2508
38035.3546,2742.9949,1894.0622,1701355.4167835875,5186.8316
37373.3287,2287.4295,1596.7004,1713489.5391340693,4456.4488
38262.0499,1309.381,1112.3271,1724782.4089845356,3607.3234
40293.5359,686.8422,589.4869,1734615.4712350166,2140.08
42756.7395,377.4481,317.6495,1743452.6683854405,1137.5377
45447.5224,215.614,178.0403,1751782.4980359077,623.1488
48092.2418,222.6185,143.5344,1759884.4492861603,387.3399
50699.5976,236.6819,149.7652,1767975.9685366286,369.4973
53254.0195,263.7867,163.6302,1776099.7460870552,394.438
55835.7482,225.7401,167.1145,1784271.7489375386,434.9708
58362.6292,275.5104,165.8084,1792415.5729880077,399.9271
60750.2708,348.7886,206.485,1800633.145837582,464.857
62950.4684,456.9947,266.861,1808983.5353880597,590.3585
65106.1197,444.5211,314.0783,1817512.3096384911,763.7146
67407.6661,431.717,258.1119,1825998.702988966,712.6558
69290.0626,631.5267,357.3872,1834536.3907392311,756.843
70680.5522,924.3302,520.0848,1843409.5692897209,1083.815
71332.0871,1363.893,765.207,1852792.518640198,1587.7451
70921.1563,1994.1187,1123.7294,1862933.8705906342,2338.3325
69096.6455,2832.6248,1615.3575,1874147.416441116,3402.7463
65633.089,3804.8158,2217.8952,1886755.4134912686,4792.0131
63170.9235,3053.7888,2261.2619,1900644.4085417243,6064.5684
61167.8157,3190.5063,1941.6076,1913549.6223921948,5073.9988
57864.9366,3705.4483,2280.451,1926717.8853426122,5330.176
54089.3743,3997.9069,2528.1695,1940672.4397930703,6108.9129
50338.7491,3996.692,2602.0014,1955069.6172433342,6544.2423
47099.1811,3707.3932,2486.0463,1969433.608393793,6504.2643
44677.4648,3229.8076,2219.5666,1983318.559244215,6018.8364
44282.9899,1935.3092,1628.9299,1996317.3384946762,5124.6851
45671.8645,1003.8261,864.9775,2007343.0686451516,3143.4049
47713.815,538.7613,458.9783,2016891.3513948163,1659.7948
50095.5254,298.3699,250.411,2025677.7689452842,890.2465
52467.4276,281.7263,186.277,2034105.8135957175,524.7418
54811.9384,281.9332,182.6304,2042483.911746187,466.0648
57131.2327,292.4671,186.4656,2050869.4175964685,466.4746
59494.9627,243.9166,182.7644,2059277.1085469502,481.6291
61868.006,260.8032,162.284,2067626.8282974197,416.8658
64148.6643,301.1445,184.5094,2076002.7725478534,435.9356
66324.8422,358.8445,217.301,2084455.2722983265,504.3914
68489.1136,336.3147,241.5107,2093008.4902488084,597.8213
70827.3049,283.4364,180.3476,2101503.5095992796,532.6898
72939.3909,380.3976,222.7178,2109971.261449762,497.7542
74836.1534,508.2735,295.0852,2118593.424900196,644.6346
76421.8952,691.7302,398.7238,2127439.757050668,863.5077
77561.4641,954.2338,547.7747,2136607.802900959,1176.5612
78080.5693,1321.8923,758.3676,2146229.615551434,1623.6445
77762.2664,1818.2587,1046.9151,2156482.173801871,2247.0885
77578.4074,1620.4823,1165.5116,2167464.381952344,2969.1373
77571.7447,1778.987,1043.4056,2178153.815202828,2669.0776
76287.7526,2379.6088,1387.9341,2189211.826252565,3030.7338
73861.9243,3061.6689,1809.4127,2201253.2851030426,4007.2279
70298.0658,3738.9368,2255.1056,2214413.3520534886,5118.625
65851.8624,4268.1043,2641.334,2228663.3288039677,6200.1924
61037.2353,4500.2498,2870.6624,2243735.6512542763,7016.2291
58125.0778,3192.3958,2531.0686,2259014.425804768,7215.4715
58077.1197,1810.9631,1491.5681,2272202.4863552484,5117.1188
59148.1068,1046.215,859.6145,2283247.3702056934,2967.2293
60853.7231,614.6555,501.318,2293050.7791561713,1716.6031
62557.6042,592.3715,383.131,2302206.5383056947,1061.9347
64155.8012,619.7114,394.5406,2311288.7610561615,982.6085
65680.6999,659.1079,416.5696,2320421.6061065947,1025.6389
67266.7853,579.273,425.8602,2329625.2342570727,1088.9854
68954.3233,586.6925,366.8716,2338708.4346075403,961.2702
70447.2806,662.1286,409.7923,2347816.2897578436,978.0907
71775.2422,757.7071,465.9111,2357055.800108314,1103.2801
73097.6936,707.7854,508.9114,2366459.4393587494,1259.816
74663.0008,670.9179,414.5753,2379572.779739915,1130.689
75882.9768,805.5893,487.8189,2388864.0579903834,1131.0812
79195.9283,505.7862,301.5609,2396759.473988555,682.9415
80932.899,581.7658,344.2026,2405627.2093516914,771.7468
81972.1232,804.6787,473.9988,2414963.5475755045,1056.3183
82843.0505,1023.4879,601.4902,2424478.166208892,1333.2435
83300.5804,1272.2165,746.6572,2434363.8198323366,1650.6888
84415.065,883.6918,651.9165,2444477.327387906,1843.9634
85264.6858,1064.3535,622.4569,2454225.2336837705,1466.6989
85570.8999,1347.528,786.5825,2464233.6875153715,1723.5209
85524.4733,1629.4295,952.0675,2474595.949354842,2089.9533
85151.1592,1958.2934,1147.7553,2485228.282120686,2527.1425
84213.6911,2347.1943,1383.2787,2496324.8962864075,3064.389
82403.7308,2793.8808,1663.1806,2508214.78833109,3726.8434
81833.5903,1952.9269,1467.197,2520631.400083521,4168.0868
82446.8026,1307.5479,990.6829,2531971.1395733706,3082.1771
83657.4625,888.158,670.9936,2542339.4170657583,2084.8435
