S,E,I,R,H
73767.18585714286,601.9559714285714,456.4167428571429,2369776.545920157,278266.1995714286
75494.33611428572,562.9850571428572,349.18764285714286,2378914.764927652,984.5860857142857
78317.95751428572,388.28902857142856,232.1383,2387102.0581495687,530.3242571428572
79948.6269,519.8344571428571,308.48102857142857,2395985.8070037505,695.5461714285715
81080.63948571429,752.5229428571429,444.7093857142857,2405208.2049374133,994.7464571428571
82009.35362857142,969.755,571.0519285714286,2414664.187718921,1270.6326571428572
82561.02207142857,1213.8656285714285,713.8864142857143,2424457.4206917603,1583.8820142857144
82601.98797142858,1519.057757142857,894.3948285714285,2434667.8333715606,1984.0504714285714
83614.15867142857,1016.9543857142858,752.7997857142857,2445044.0878469734,2138.5204
84400.85791428572,1186.4464857142857,697.1269714285714,2454892.2985150088,1651.9744714285714
84770.21655714286,1423.706,833.6543857142857,2464911.120972931,1837.6715142857142
84728.82445714285,1698.451757142857,995.9697142857143,2475278.6737216706,2197.1056714285714
84250.38685714286,1999.8134285714286,1177.1893714285713,2486058.1003636,2605.504457142857
83350.30907142856,2338.3707142857143,1384.3977714285713,2497195.9828281105,3084.443385714286
81590.64828571428,2787.156942857143,1665.6861,2509032.0892050313,3754.1925571428574
81151.86064285714,1943.691342857143,1464.639,2521324.9233002476,4175.5419
81769.28117142858,1305.2240285714286,992.3900714285714,2532649.2777021695,3098.5735142857143
82956.33581428572,888.5369428571429,673.4188428571429,2543037.7395613557,2100.778342857143
84536.06458571428,610.0873142857143,459.85407142857144,2552808.4649037523,1426.7474571428572
85580.80677142857,835.7793571428572,495.9234285714286,2562376.5050025173,1145.6465714285714
86301.52442857143,1018.5862857142857,602.4087428571429,2572255.1583076105,1348.3919714285714
86692.75021428571,1212.8255714285715,717.3914714285714,2582468.300747681,1602.808242857143
87548.36547142857,949.1747142857142,695.3018714285714,2592820.155107473,1821.1659714285715
88170.05837142857,1216.3070857142857,717.504,2602866.125557027,1635.895142857143
88472.30198571428,1443.2920571428572,850.3328428571429,2613161.7057244917,1889.4937
88252.0959,1692.4421714285713,999.4158428571428,2623988.4452031646,2224.6356
88231.18925714286,1304.5459857142857,957.7183,2635443.7120761755,2513.2844714285716
88429.2601,1091.299942857143,667.8143285714285,2646792.8422396514,1875.1667142857143
87874.43525714286,1201.3185428571428,714.4259571428571,2658242.6104017003,1615.4959428571428
87625.31955714285,1433.9948571428572,854.8646714285715,2669186.5179080567,1930.6236571428572
87063.53987142857,2198.844457142857,1315.1555,2679599.285468777,2973.7897285714284
84751.06441428572,2754.8289285714286,1667.0813,2692078.495816682,3823.369314285714
81468.29995714285,3260.4363285714285,2006.3614142857143,2705589.480852896,4697.704742857143
76627.05228571428,3866.6829428571427,2438.8142857142857,2720455.4395602816,5893.6085571428575
74109.30507142858,2621.8078571428573,2085.6547714285716,2735613.7342945943,6251.575185714286
72741.35851428572,2390.5306142857144,1562.4263428571428,2748770.3894318,4420.985757142857
71261.24418571428,2341.2563142857143,1530.4081714285714,2761316.139027535,3913.539342857143
69954.20591428572,2227.932,1469.5331857142858,2773781.719394694,3799.109857142857
69014.40741428571,2040.2345142857143,1355.1111,2785924.914704742,3540.580414285714
