S,E,I,R,H
3466.488388388374,245.0883993994,132.07662762762783,3072.3789229229155,122.69779779779788
10931.916012012023,993.3944944944942,387.82459959960033,6999.2365875876085,917.4079519519502
32688.628624624624,2986.263534534535,1052.641312312312,15265.757853854033,3225.779554554557
98506.59030130143,8172.110021021021,2844.872647647649,39505.98475975972,9429.132131131122
297060.96259359346,22136.43114214215,7176.785496496491,112696.6536446441,25825.009280280334
799437.409485485,48585.52175275269,16399.354454454442,325447.1740530526,66290.51503903899
1773459.8719429413,75514.3851601602,28581.51431331333,844181.3935125124,137433.84361861896
2404608.559995997,25550.215991991972,17798.061085085086,1673588.1634074077,163433.35370470484
2725093.4438188164,16866.831115115132,8963.34542442442,2312249.0679439474,70443.13504604601
2269660.7324084067,28488.908908908812,9514.391902902906,2552125.056831833,39866.16743143146
1250034.1216006002,89041.4246556556,25976.94974874876,2080576.4678668666,83189.24200100097
453738.2903063061,125454.82249349341,50168.883199199176,1152382.7338448435,231509.24101601596
247053.90183783756,93789.93783783782,47547.14281881881,438980.0740740741,317570.89627127035
326730.22662662645,46640.92251851844,27454.025081081054,232534.49399399376,235769.22184584592
389902.55142742686,10073.152896896894,8950.963722722721,297282.3377687689,109483.64354354344
412835.7474664666,2672.1795385385394,2331.2786536536537,371982.8967277272,27123.678874874862
419031.40051151195,995.7807717717723,769.9326436436443,407339.71931031015,7028.43311211211
419438.094733734,464.88190590590534,376.00007907907843,417759.7490130135,2450.872648648649
418513.39416916925,728.2919359359338,381.26089989989634,421907.8238238242,1623.8796546546544
413076.4658968969,1058.2098258258252,486.14231831831717,419715.13765665604,2131.8948698698705
406114.92687787703,1598.866585585585,678.0972162162152,414742.8912662666,3003.638962962965
403538.38383984007,1222.2414574574577,741.4873113113122,409530.6958318314,4202.9364524524535
402279.7713353349,2552.750725725723,965.6811171171177,406131.09453353076,4505.669980980986
407686.4334644646,4706.195411411415,1785.439935935938,400976.7366476474,7385.0163273273365
447979.0559799795,9234.768384384377,3266.6958318318348,409216.83873873885,14053.174533533527
521682.0070310311,7857.53456556555,4161.570969969969,448889.385989991,24958.608912912925
613893.2260700702,8991.614014014018,3131.8107667667673,514916.4878638639,20875.18265365365
828359.4387097104,19293.547522522524,6496.693524524517,621793.5212962962,26972.24220120117
1287747.9036786787,40391.44845245245,13391.894758758752,848867.0819529537,57801.01560660657
2205098.6877877875,78113.5423173173,26158.771555555548,1325045.5872662666,116125.742846847
3824716.858049055,121991.5806166165,46406.23417017014,2249592.040271276,216298.10922522563
5940599.779379377,137572.26817917923,57631.52171271275,3816449.709209208,331863.1718758759
7300717.071550552,87941.45726126133,46722.17457357357,5715451.080804808,337448.28025525546
6940625.026801792,30658.225421421423,19945.895795795826,6850224.732523516,197708.2813973976
5442110.954618618,64742.810681681716,18893.947906906913,6628013.20426025,85656.78848448452
3168283.747506508,153377.20188088095,48624.327398398316,5131377.762737736,187875.67823723724
1339521.2998588597,218280.96303403415,83330.74354254243,3016634.2616126128,409398.4314064065
588135.9060570576,203250.04596496501,92297.00680580578,1305618.124635633,563118.2989299303
696888.5239799803,140887.40037537544,70953.42122022029,572569.9367007011,530463.6447957956
1134602.119918918,76524.02629729739,43305.46512912908,643821.4386546552,358363.05883383425
1415823.139983982,18898.50778678679,15807.717041041045,1047824.3777367368,188368.4492652654
